922340					
1.29245E-01	7.15263E-01	5.61210E+01	5.68611E+01
0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.27901E-01	7.15263E-01	5.61210E+01	5.68611E+01

922350					
1.38732E+00	3.12478E+00	3.67347E+01	3.78868E+02
1.23764E+00	2.33268E+00	2.43313E+01	3.22969E+02
1.42123E-01	7.92100E-01	1.24034E+01	5.58999E+01

922360					
1.34438E-01	6.62611E-01	3.14395E+01	3.08288E+00
0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.30399E-01	6.62611E-01	3.14395E+01	3.08288E+00
					
922380					
2.96050E-01	4.67949E-01	2.07605E+00	1.60739E+00
1.97490E-01	7.24686E-05	1.97121E-04	1.00180E-05
8.90128E-02	4.67877E-01	2.07585E+00	1.60738E+00
					
922390					
5.84349E-01	1.74038E+00	2.55852E+01	4.86432E+01
4.11851E-01	7.70929E-01	5.81970E-01	2.02299E+01
1.33192E-01	9.69453E-01	2.50032E+01	2.84133E+01

942380					
2.17776E-01	1.05880E+00	1.52383E+01	2.72664E+02
0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
2.15017E-01	1.05880E+00	1.52383E+01	2.72664E+02
					
942390					
1.79179E+00	2.44795E+00	4.46656E+01	1.17239E+03
1.71427E+00	1.71728E+00	2.69408E+01	7.67243E+02
7.52683E-02	7.30674E-01	1.77248E+01	4.05144E+02
					
942400					
1.17385E-01	8.46145E-01	8.06155E+02	2.09505E+02
0.00000E+00	0.00000E+00	0.00000E+00	0.00000E+00
1.15906E-01	8.46145E-01	8.06155E+02	2.09505E+02
					
942410					
1.78495E+00	3.67512E+00	6.80936E+01	1.04433E+03
1.64633E+00	3.02076E+00	5.10704E+01	7.63104E+02
1.25133E-01	6.54360E-01	1.70231E+01	2.81227E+02
					

